symbol,entry_time,side,entry_price,quantity,position_size_usdt,status,exit_time,exit_price,profit_loss,profit_loss_pct,duration_seconds,exit_reason
GPSUSDT,2025-11-22 14:57:50.763470,BEARISH,0.006244,1729.660474055093,10.8,CLOSED,2025-11-22 15:07:08.493923,0.00625,-0.01588736386931445,-0.001471052210121708,557.730395,Market exit
VIRTUALUSDT,2025-11-22 15:03:09.610413,BEARISH,0.8795,12.27970437748721,10.8,CLOSED,2025-11-22 15:21:26.069468,0.8808,-0.01305115378055761,-0.0012084401648664452,1096.458992,Market exit
UNIUSDT,2025-11-22 15:08:40.840261,BEARISH,6.386,1.6911994989038523,10.8,CLOSED,2025-11-22 15:21:26.497104,6.403,-0.03956476667710526,-0.0036634043219541906,765.656811,Market exit
RECALLUSDT,2025-11-22 15:08:41.624463,BULLISH,0.1494,72.28915662650603,10.8,OPEN,,,,,,
XLMUSDT,2025-11-22 15:15:14.435186,BULLISH,0.23112,46.728971962616825,10.8,CLOSED,2025-11-22 15:55:21.366321,0.2318,0.008383925233645121,0.0007762893734856593,2406.931075,Market exit
LAYERUSDT,2025-11-22 15:17:53.347366,BULLISH,0.2287,47.22343681679056,10.8,CLOSED,2025-11-22 15:59:23.221688,0.2354,0.14890142872759102,0.013787169326628797,2489.874249,Market exit
TNSRUSDT,2025-11-22 15:27:42.005634,BEARISH,0.11278,95.76165986877106,10.8,CLOSED,2025-11-22 16:11:59.257332,0.1096,0.14326374046816825,0.013265161154460022,2657.251621,Market exit
WLDUSDT,2025-11-22 15:31:27.167709,BULLISH,0.5989,18.03306061112039,10.8,CLOSED,2025-11-22 15:42:36.531097,0.598,-0.020266229754550173,-0.0018765027550509414,669.363321,Market exit
XRPUSDT,2025-11-22 15:45:27.317812,BULLISH,1.9499,5.5387455766962415,10.8,CLOSED,2025-11-22 16:07:01.903451,1.9443,-0.04180146674188448,-0.0038705061798041183,1294.585572,Market exit
LIGHTUSDT,2025-11-22 15:45:32.110298,BULLISH,1.1213,9.631677517167574,10.8,OPEN,,,,,,
BNBUSDT,2025-11-22 15:48:18.130072,BULLISH,834.45,0.012942656839834622,10.8,CLOSED,2025-11-22 15:53:24.170618,831.92,-0.04352854934388033,-0.004030421235544475,306.040452,Market exit
NEARUSDT,2025-11-22 15:55:57.768449,BEARISH,1.845,5.853658536585367,10.8,CLOSED,2025-11-22 16:35:13.616080,1.824,0.044875317073170516,0.0041551219512194915,2355.847542,Market exit
HFTUSDT,2025-11-22 16:06:43.902906,BEARISH,0.03989,270.7445475056405,10.8,CLOSED,2025-11-22 16:37:36.803629,0.0388,0.13867381737277526,0.012840168275256967,1852.900693,Market exit
ENAUSDT,2025-11-22 16:08:31.325150,BEARISH,0.232,46.55172413793103,10.8,CLOSED,2025-11-22 16:35:14.013367,0.2298,0.03666600000000013,0.0033950000000000117,1602.688146,Market exit
PUMPUSDT,2025-11-22 16:09:55.275755,BEARISH,0.00268,4029.8507462686566,10.8,CLOSED,2025-11-22 16:27:05.269898,0.002662,0.030114621268657146,0.0027883908582089947,1029.994107,Market exit
STRKUSDT,2025-11-22 16:18:55.215891,BEARISH,0.167,64.67065868263474,10.8,CLOSED,2025-11-22 16:49:36.593515,0.169,-0.14020598802395223,-0.012982035928143723,1841.377562,Market exit
TAOUSDT,2025-11-22 16:19:37.965200,BEARISH,268.16,0.0402744630071599,10.8,CLOSED,2025-11-22 16:35:15.066893,266.7,0.02341468171986945,0.002168026085173097,937.101621,Market exit
DYMUSDT,2025-11-22 16:28:14.649733,BEARISH,0.10551,102.35996588001137,10.8,CLOSED,2025-11-22 16:51:58.418655,0.1064,-0.1019459198180255,-0.009439437020187546,1423.768852,Market exit
ASTERUSDT,2025-11-22 16:36:00.097400,BEARISH,1.1849,9.114693223056799,10.8,CLOSED,2025-11-22 16:47:11.415589,1.185,-0.008783943792725051,-0.0008133281289560233,671.317946,Market exit
ICPUSDT,2025-11-22 16:36:03.837426,BEARISH,4.114,2.6251823043266898,10.8,CLOSED,2025-11-22 16:51:58.825490,4.114,-0.0108,-0.001,954.988027,Market exit
SOLUSDT,2025-11-22 16:47:27.191722,BEARISH,125.79,0.08585738134986882,10.8,CLOSED,2025-11-22 17:01:25.931221,126.13,-0.04000610541378395,-0.00370426901979481,838.739426,Market exit
WLFIUSDT,2025-11-22 16:49:58.112818,BEARISH,0.1422,75.9493670886076,10.8,CLOSED,2025-11-22 16:51:59.073142,0.143,-0.07158987341772116,-0.006628691983122329,120.960268,Market exit
DOGEUSDT,2025-11-22 17:02:35.244279,BEARISH,0.13636,79.2021120563215,10.8,CLOSED,2025-11-22 17:03:29.176608,0.1369,-0.053590525080667625,-0.004962085655617373,53.932249,Market exit
PUMPUSDT,2025-11-22 17:02:36.208884,BEARISH,0.002672,4041.916167664671,10.8,CLOSED,2025-11-22 17:04:38.910454,0.002686,-0.06741511976047955,-0.006242140718562921,122.701505,Market exit
XPLUSDT,2025-11-22 17:02:36.491015,BEARISH,0.1998,54.054054054054056,10.8,CLOSED,2025-11-22 17:04:39.652981,0.2011,-0.08110540540540517,-0.007509759759759738,123.161896,Market exit
TAOUSDT,2025-11-22 17:02:36.832793,BEARISH,266.76,0.04048582995951418,10.8,CLOSED,2025-11-22 17:06:09.263555,267.9,-0.05697692307692254,-0.005275641025640976,212.430684,Market exit
ADAUSDT,2025-11-22 17:03:44.103489,BEARISH,0.3987,20.065211938801102,8.0,CLOSED,2025-11-22 17:09:48.016260,0.4003,-0.04012039127163261,-0.005015048908954077,363.912705,Market exit
ALLOUSDT,2025-11-22 17:05:06.678397,BEARISH,0.1553,69.54282034771411,10.8,CLOSED,2025-11-22 17:34:34.785553,0.157,-0.12908190598841005,-0.011952028332260188,1768.107123,Market exit
