symbol,entry_time,side,entry_price,quantity,position_size_usdt,status
GRASSUSDT,2025-11-21 23:11:11.402624,BEARISH,0.3884,14.160659114315138,5.5,OPEN
APTUSDT,2025-11-21 23:11:11.977905,BEARISH,2.4959,2.203613926840018,5.5,OPEN
CRVUSDT,2025-11-21 23:11:12.279745,BEARISH,0.376,14.627659574468085,5.5,OPEN
XAIUSDT,2025-11-21 23:11:12.489617,BEARISH,0.02341,234.94233233660827,5.5,OPEN
