symbol,entry_time,side,entry_price,quantity,position_size_usdt,status,exit_time,exit_price,profit_loss,profit_loss_pct,duration_seconds,exit_reason
TNSRUSDT,2025-11-21 23:32:26.155184,BEARISH,0.19829,54.46568157748752,10.8,CLOSED,2025-11-22 00:16:15.404866,0.1843,0.3663834879469466,0.03392439703212468,2629.249601,Market exit
BNBUSDT,2025-11-21 23:32:26.484682,BEARISH,819.2,0.01318359375,10.8,CLOSED,2025-11-22 00:08:04.778577,812.75,0.07427669677734434,0.006877471923828179,2138.293825,Market exit
XPLUSDT,2025-11-22 00:21:52.256120,BULLISH,0.2158,50.04633920296571,10.8,CLOSED,2025-11-22 00:42:12.272070,0.2137,-0.11584476367006441,-0.010726367006487445,1220.015872,Market exit
TNSRUSDT,2025-11-22 00:30:12.861588,BEARISH,0.18,60.00000000000001,10.8,CLOSED,2025-11-22 00:33:12.105865,0.1875,-0.46102500000000046,-0.04268750000000004,179.244207,Market exit
LIGHTUSDT,2025-11-22 00:48:16.395802,BULLISH,1.1436,9.44386149003148,10.8,OPEN,,,,,,
PUMPUSDT,2025-11-22 01:00:28.929165,BULLISH,0.002887,3740.907516453066,10.8,CLOSED,2025-11-22 01:21:57.399304,0.00286,-0.11175400069275947,-0.010347592656736987,1288.470047,Market exit
0GUSDT,2025-11-22 01:52:17.234328,BEARISH,1.1891,9.082499369270877,10.8,CLOSED,2025-11-22 02:25:34.026218,1.171,0.07491677466150873,0.006936738394584141,1996.791825,Market exit
0GUSDT,2025-11-22 02:35:40.419664,BEARISH,1.1733,6.818375522031876,8.0,CLOSED,2025-11-22 02:37:20.547352,1.182,-0.06734952697519768,-0.00841869087189971,100.127615,Market exit
XPLUSDT,2025-11-22 02:39:10.638780,BULLISH,0.2184,49.45054945054945,10.8,CLOSED,2025-11-22 02:41:13.215281,0.2166,-0.0997664835164847,-0.009237637362637472,122.57644,Market exit
LIGHTUSDT,2025-11-22 03:48:42.234811,BULLISH,1.1691,9.237875288683604,10.8,OPEN,,,,,,
